mmsi,lat,lon,course,heading,speed,roc,tcpa,cpa
12.0,18.9245,72.843833,58.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.932613,72.841818,158.0,37.0,0.1,-1.05,9.477882552965191,0.08
12.0,18.9245,72.843833,7.0,-0.1,0.2,-0.83,7.815242904226975,0.243
12.0,18.9245,72.843833,199.0,-0.1,0.1,1.07,7.226713550485463,0.253
13.0,18.928653,72.838497,360.0,330.0,0.0,-0.92,0.5563240296627596,0.052
13.0,18.928653,72.838497,360.0,334.0,0.0,-0.92,0.5563240296627596,0.052
13.0,18.928653,72.838497,360.0,339.0,0.0,-0.92,0.5563240296627596,0.052
12.0,18.9245,72.843833,101.0,-0.1,0.1,1.07,7.226713550485463,0.253
13.0,18.928653,72.838497,360.0,343.0,0.0,-0.92,0.5563240296627596,0.052
13.0,18.928653,72.838497,360.0,347.0,0.0,-0.92,0.5563240296627596,0.052
13.0,18.928653,72.838498,360.0,351.0,0.0,-0.92,0.5581330101314093,0.052
12.0,18.9245,72.843833,278.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.932618,72.841818,192.6,33.0,0.1,-0.82,9.532368121154715,0.079
13.0,18.928652,72.838498,360.0,356.0,0.0,-0.92,0.5572141661192319,0.052
13.0,18.928652,72.838498,360.0,0.0,0.0,-0.92,0.5572141661192319,0.052
13.0,18.928652,72.838498,360.0,6.0,0.0,-0.92,0.5572141661192319,0.052
12.0,18.9245,72.843833,314.0,-0.1,0.1,1.07,7.226713550485463,0.253
13.0,18.928652,72.838498,360.0,10.0,0.0,-0.92,0.5572141661192319,0.052
13.0,18.928652,72.838498,360.0,14.0,0.0,-0.92,0.5572141661192319,0.052
13.0,18.928652,72.8385,360.0,18.0,0.0,-0.92,0.560890122368244,0.052
14.0,18.932617,72.841813,208.8,34.0,0.1,-0.81,9.50825603643541,0.079
13.0,18.928652,72.8385,360.0,24.0,0.0,-0.92,0.560890122368244,0.052
13.0,18.928652,72.8385,360.0,28.0,0.0,-0.92,0.560890122368244,0.052
13.0,18.928652,72.8385,360.0,34.0,0.0,-0.92,0.560890122368244,0.052
13.0,18.92865,72.838502,360.0,38.0,0.0,-0.97,0.5719037875682341,0.052
13.0,18.92865,72.838502,360.0,42.0,0.0,-0.97,0.5719037875682341,0.052
13.0,18.92865,72.838502,360.0,47.0,0.0,-0.97,0.5719037875682341,0.052
12.0,18.9245,72.843833,54.0,-0.1,0.1,1.07,7.226713550485463,0.253
13.0,18.92865,72.838502,360.0,52.0,0.0,-0.97,0.5719037875682341,0.052
13.0,18.92865,72.838502,360.0,56.0,0.0,-0.97,0.5719037875682341,0.052
12.0,18.9245,72.843833,167.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.932645,72.841845,274.5,33.0,0.1,-0.76,9.609446258057185,0.08
12.0,18.9245,72.843833,24.0,-0.1,0.1,1.07,7.226713550485463,0.253
13.0,18.92865,72.838515,81.5,78.0,1.5,0.96,0.46538317884401564,0.048
13.0,18.928647,72.838568,83.4,83.0,2.4,2.79,0.438557081880031,0.043
13.0,18.928638,72.83864,85.0,85.0,2.9,1.89,0.4221564599300455,0.038
12.0,18.9245,72.843833,277.0,-0.1,0.1,1.07,7.226713550485463,0.253
13.0,18.928632,72.838708,86.0,87.0,3.4,3.79,0.4029610565446735,0.033
14.0,18.93264,72.841825,269.2,34.0,0.1,-0.75,9.556644953686103,0.079
13.0,18.928627,72.838785,86.2,88.0,3.8,4.51,0.3847828685824445,0.027
13.0,18.928622,72.838862,86.6,88.0,4.3,2.83,0.3568563609367582,0.022
12.0,18.9245,72.843833,79.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.932637,72.841835,263.0,34.0,0.1,-0.76,9.570663939091963,0.08
13.0,18.928617,72.838973,87.3,89.0,4.7,3.04,0.34165374737459187,0.015
13.0,18.92861,72.839063,87.8,89.0,5.3,-1.72,0.314314735455898,0.009
13.0,18.928607,72.839157,88.3,89.0,5.6,-1.89,0.3039351331159453,0.003
12.0,18.9245,72.843833,251.0,-0.1,0.1,1.07,7.226713550485463,0.253
19.0,18.93132,72.855698,184.0,-0.1,4.6,0.93,11.526609977578296,0.086.
14.0,18.932633,72.841852,253.5,34.0,0.0,0.14,10.270199133088996,0.088
12.0,18.9245,72.843833,269.0,-0.1,0.1,1.07,7.226713550485463,0.253
12.0,18.9245,72.843833,33.0,-0.1,0.2,-0.83,7.815242904226975,0.243
19.0,18.93064,72.855648,183.5,-0.1,4.6,2.61,11.463012199274491,0.097
12.0,18.9245,72.843833,317.0,-0.1,0.2,-0.83,7.815242904226975,0.243
14.0,18.932618,72.841838,239.0,36.0,0.0,0.14,10.230732155261872,0.087
27.0,18.942065,72.84094,238.3,211.0,0.0,-0.96,17.32569003195148,0.043
12.0,18.9245,72.843833,60.0,-0.1,0.1,1.07,7.226713550485463,0.253
12.0,18.9245,72.843833,274.0,-0.1,0.1,1.07,7.226713550485463,0.253
28.0,18.937947,72.844555,79.9,13.0,0.1,0.64,19.362655701203284,0.158
12.0,18.9245,72.843833,217.0,-0.1,0.1,1.07,7.226713550485463,0.253
19.0,18.930007,72.855597,184.6,-0.1,4.6,2.63,11.405842846490566,0.108
12.0,18.9245,72.843833,76.0,-0.1,0.2,-0.83,7.815242904226975,0.243
12.0,18.9245,72.843833,98.0,-0.1,0.1,1.07,7.226713550485463,0.253
19.0,18.929527,72.855558,184.9,-0.1,4.6,2.29,11.363904272269393,0.116
14.0,18.932612,72.841832,243.4,35.0,0.1,-0.86,9.521097991947373,0.08
19.0,18.929332,72.855537,185.5,-0.1,4.6,2.43,11.34207430962334,0.119
12.0,18.9245,72.843833,229.0,-0.1,0.1,1.07,7.226713550485463,0.253
12.0,18.9245,72.843833,49.0,-0.1,0.1,1.07,7.226713550485463,0.253
12.0,18.9245,72.843833,135.0,-0.1,0.1,1.07,7.226713550485463,0.253
19.0,18.928703,72.855457,186.7,-0.1,4.6,1.23,11.271292624211515,0.129
12.0,18.9245,72.843833,296.0,-0.1,0.1,1.07,7.226713550485463,0.253
12.0,18.9245,72.843833,293.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.932617,72.841837,242.2,36.0,0.1,-0.91,9.536499175540948,0.08
12.0,18.9245,72.843833,287.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.932613,72.841838,238.0,36.0,0.0,0.14,10.226124882124706,0.087
14.0,18.932608,72.841838,235.7,36.0,0.1,-0.94,9.521538736638572,0.081
12.0,18.9245,72.843833,102.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.932605,72.841837,233.9,36.0,0.0,0.14,10.21695009455001,0.087
12.0,18.9245,72.843833,329.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.932603,72.84183,233.6,36.0,0.1,-0.91,9.512655609141289,0.08
19.0,18.9274,72.855295,186.5,-0.1,4.6,1.52,11.11408846048231,0.15
12.0,18.9245,72.843833,16.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.932602,72.841827,229.1,36.0,0.1,-0.94,9.498313398128587,0.08
12.0,18.9245,72.843833,90.0,-0.1,0.1,1.07,7.226713550485463,0.253
12.0,18.9245,72.843833,139.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.932618,72.841827,223.4,37.0,0.1,-1.03,9.505999335054526,0.08
12.0,18.9245,72.843833,164.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.93262,72.841828,223.4,37.0,0.0,0.15,10.214149206281062,0.086
12.0,18.9245,72.843833,271.0,-0.1,0.1,1.07,7.226713550485463,0.253
28.0,18.937957,72.84457,79.0,13.0,0.1,0.63,19.396793418554548,0.159
14.0,18.932622,72.841828,224.3,36.0,0.0,0.15,10.215991312151434,0.086
12.0,18.9245,72.843833,113.0,-0.1,0.1,1.07,7.226713550485463,0.253
14.0,18.93262,72.841825,226.8,36.0,0.1,-0.91,9.51896259454901,0.08
19.0,18.925865,72.85521,184.3,-0.1,4.6,2.34,10.997721068087884,0.176
